,Genotype,Incubation.Temp,Incubation.Temp:Genotype,Residuals
known:OW982311.1_36638,0,0,0.459013916543624,0.540986083456376
novel:OW982312.1_37957,0.241406909283245,0,0,0.758593090716755
known:OW982312.1_38440,0.14317106134863,0,0,0.85682893865137
known:OW982312.1_38000,0,0,0.332355598899033,0.667644401100967
known:OW982312.1_38543,0,0.302997468808028,0,0.697002531191972
known:OW982312.1_38546,0,0.240339195674698,0,0.759660804325302
known:OW982312.1_38160,0.0792085762042035,0,0.23304859308388,0.687742830711916
known:OW982313.1_39842,0.271004656702943,0.287506884043407,0,0.44148845925365
known:OW982313.1_39873,0.350526838492935,0,0,0.649473161507065
novel:OW982313.1_39729,0.00239781421481754,0.878441864084086,2.94595638863916e-10,0.119160321406501
known:OW982314.1_40988,0.335430941899651,0.454238881241587,0,0.210330176858762
known:OW982314.1_40990,0,0,0,1
known:OW982314.1_41004,0.237079938732606,0,0.131857587478428,0.631062473788966
novel:OW982315.1_40718,0,0,0.372350907367814,0.627649092632186
known:OW982315.1_40523,0.00422434207869047,0.707133898393157,0.221699355710832,0.0669424038173204
novel:OW982315.1_40541,0.565170465210275,0.225441170367124,0.117210600656844,0.0921777637657574
known:OW982315.1_40545,0,0.182098110309653,0,0.817901889690347
known:OW982315.1_40548,0,0.0130055311112326,0.0796707454132073,0.90732372347556
novel:OW982316.1_42309,0,0.468652432616252,0,0.531347567383748
novel:OW982316.1_42310,0,0.53697032065334,0,0.46302967934666
novel:OW982316.1_42312,0,0.406847565385996,0,0.593152434614004
known:OW982316.1_42151,0.190858939684572,0.555201222956139,0,0.253939837359289
known:OW982316.1_42152,0.190858939684572,0.555201222956139,0,0.253939837359289
known:OW982317.1_41863,0,0,0,1
known:OW982317.1_41865,0,0,0,1
known:OW982317.1_41877,0,0,0.638667218793695,0.361332781206305
known:OW982317.1_41916,0.240807519753401,0.354965662360577,0,0.404226817886022
known:OW982317.1_41918,0.543511033222966,0.309064240967112,6.5890052217352e-10,0.147424725151021
novel:OW982317.1_41730,0,0.018073732810692,0,0.981926267189308
novel:OW982317.1_41789,0,0,0,1
known:OW982318.1_43175,1.52079978186707e-10,0.125916530039339,0.34004627951488,0.534037190293701
novel:OW982318.1_42875,0,1.64310243246466e-09,0.564473228436387,0.435526769920511
known:OW982319.1_40269,0,0.289550344590851,0.299184206185707,0.411265449223442
novel:OW982319.1_40366,0,0.644751230264673,0,0.355248769735327
novel:OW982320.1_41483,0.329398213521853,0.28318351822264,0,0.387418268255507
novel:OW982320.1_41282,5.09854816351986e-09,0.447729079815444,0.423533853729726,0.128737061356282
novel:OW982320.1_41385,0,0.792636202298539,0.0480612236061377,0.159302574095323
novel:OW982321.1_43195,0.111166439789589,0.560538969334405,0,0.328294590876007
known:OW982324.1_46568,0.012143737511093,0,0,0.987856262488907
novel:OW982326.1_36224,0.497585081595857,0.051219379692606,0.240159543953766,0.211035994757772
