miRNA.ID,logCPM,logFC.38vs33,F.38vs33,PValue.38vs33,FDR.38vs33,logFC.43vs38,F.43vs38,PValue.43vs38,FDR.43vs38,logFC.43vs33,F.43vs33,PValue.43vs33,FDR.43vs33
known:OW982309.1_35362,7.47529900775577,-0.200727297893979,0.4219194156576,0.526580620657185,0.767222302140307,0.277401427851192,1.41718945761025,0.253821386676848,0.47438341923742,0.0766741299572127,0.0616102713644466,0.807601887453717,0.871952635457997
known:OW982309.1_35397,3.98729308855441,-0.877151127356894,0.526427615078263,0.4801632350197,0.731035037586173,-0.7370952257497,0.490950405105772,0.495078090518229,0.681046510306802,-1.61424635310659,1.70474287191734,0.212887771659294,0.333483156761091
known:OW982309.1_35784,14.3171088494833,-0.0912719662461554,0.483286209275066,0.498406995271948,0.746233678003855,-0.193511406391547,3.80679823149434,0.0715197510839128,0.201894297330629,-0.284783372637703,4.79241983909963,0.0461757388489001,0.097909002387361
known:OW982309.1_35786,12.482574568177,0.149778753323551,1.0984824285859,0.312500623962494,0.585845961440123,0.114241441568314,1.13363261292833,0.305166933131317,0.510495301719673,0.264020194891864,3.40560098069941,0.0864048772164712,0.163004866631003
known:OW982309.1_35790,11.1252870324333,0.991145354556072,12.918257929502,0.00296706425057894,0.0349597570394301,1.01271076385712,26.2101153847766,0.000160035206513372,0.00373227286228723,2.0038561184132,52.3925136290368,4.50904424794482e-06,0.000244390198238609
known:OW982309.1_35792,12.0664236322009,-0.109269825598456,0.142590233043267,0.711428557032323,0.882775272940331,0.215042661160399,0.960109087466978,0.343923888451238,0.551499253078612,0.105772835561942,0.131002320870572,0.722843795599742,0.809465572758388
known:OW982310.1_37730,7.85730475241404,0.0630527052575206,0.047631204773578,0.83041252151894,0.943711644135996,-0.250878237115483,1.3049835647234,0.272620953764435,0.486054463619486,-0.187825531857962,0.414823664414142,0.530027037378092,0.664987625599365
known:OW982310.1_37733,11.095043030966,-0.724790683833986,20.680956633491,0.000465052042248582,0.0268327728816058,-0.632694249174217,26.0304775538097,0.000165266695009029,0.00373227286228723,-1.3574849330082,70.4487914341335,8.26783038115045e-07,7.46860677763924e-05
known:OW982311.1_36363,10.5413813993497,-0.340994493182243,4.47066628377789,0.053060836436753,0.224679479286876,-0.647540624198894,27.9211229894339,0.000118670000312444,0.0035732855649636,-0.988535117381137,37.9975690147565,2.54952466018819e-05,0.000532982899012063
known:OW982311.1_36384,10.6347736971557,-0.203434931700057,1.22678289549635,0.286851610126681,0.555262759602361,0.0218770080698373,0.0249176210201348,0.876845040454974,0.953435322271091,-0.18155792363022,0.990413295680258,0.336668548956163,0.483374996562548
