,NCT_72_33_32_smRNA_S31,NCT_72_33_53_smRNA_S44,NCT_72_38_71_smRNA_S47,NCT_72_38_73_smRNA_S48,NCT_72_43_21_smRNA_S29,NCT_72_43_22_smRNA_S30,RBC2_72_38_11_smRNA_S25,RBC2_72_38_12_smRNA_S26,RBC2_72_43_41_smRNA_S42,RBC2_72_43_42_smRNA_S43
known:OW982292.1_9221,11.0894523915294,11.233393716187,11.6184202525595,11.2689249651913,10.6955520698857,10.607771496189,10.8526782532624,10.8756857656059,10.5486180740958,10.5721526763774
known:OW982292.1_9226,10.8619487862043,10.5622963864901,10.3670227035953,10.7171309885773,10.7393603770432,10.5977434118567,10.5053103480191,10.4769386356633,10.7482275547642,10.656529309996
novel:OW982292.1_9415,5.60208252717399,6.16081075952488,1.98428374255877,4.06557430611049,1.98428374255877,1.98428374255877,2.99898486718363,4.58340077472421,1.98428374255877,2.93063376916467
known:OW982292.1_9450,3.91750288252447,5.52983207184591,5.56281172374104,5.07868831684537,5.33906520404193,5.76552028343714,5.00991322839769,5.92297203088466,6.19343683113621,5.69035962834085
known:OW982292.1_11552,10.6924071240949,9.18659780555882,10.5490339812664,9.90500531219114,13.9001239672298,14.1048690326364,8.0791945931265,7.89173917727875,12.6344041903919,12.0598843365776
novel:OW982293.1_13080,1.98428374255877,3.63289642682862,3.05099971697583,1.98428374255877,1.98428374255877,3.88419071189312,3.58881464016824,4.58340077472421,2.92602860058817,4.47868816192809
novel:OW982293.1_13144,1.98428374255877,3.63289642682862,4.67878492436328,3.64172743596065,5.33906520404193,5.76552028343714,4.32966226356475,3.80377960269855,5.19959733986925,5.34463573838801
known:OW982293.1_12063,4.71506024063518,5.06726215945046,4.41152499575613,5.9916582268857,5.33906520404193,4.86681197029452,4.59366554673787,4.11283159807786,5.46058116431822,5.46931169139994
known:OW982293.1_12064,4.71506024063518,5.06726215945046,4.41152499575613,5.9916582268857,5.33906520404193,4.86681197029452,4.59366554673787,4.11283159807786,5.46058116431822,5.46931169139994
known:OW982293.1_13413,6.35817195148721,7.39837662650289,5.91318251645796,6.84273325624597,5.57840250298194,6.17821143877438,6.01172660070274,6.70104333890971,5.78045575906817,5.96904260881428
known:OW982293.1_13414,6.35817195148721,7.46887496440667,6.501130765301,6.94609179739695,6.95973532326135,6.55509643176418,6.33401709669676,6.91557666135826,6.1197611436641,6.73680516760732
novel:OW982293.1_13427,4.37070739095092,7.7493675589956,7.1108624658036,6.54640357366417,3.49325335230059,1.98428374255877,5.59608489720785,5.34536718369055,1.98428374255877,3.49726023905537
known:OW982293.1_13826,8.88395113979077,8.97278528022433,9.88237830135155,8.93627396375552,10.2614140415861,10.4307915410373,8.92018694405946,9.14918646910615,9.69241646659676,9.73958510407306
novel:OW982293.1_13839,3.2530367377353,4.64837967371631,5.42416461582566,4.06557430611049,5.05196855449731,5.0347930142393,5.00991322839769,2.86649072441154,4.21183999590118,5.34463573838801
novel:OW982293.1_13890,6.9197516560512,6.32184354824176,8.30288092580265,8.13450927726149,7.08143964159465,7.24490592751325,7.47231099792575,7.60081756818073,6.91346874736369,6.87845779875395
novel:OW982293.1_12561,4.99285314866851,5.97951857831161,4.67878492436328,3.03898315731476,3.49325335230059,2.9183324951733,4.00627963156225,4.77137128143436,3.49103799263235,1.98428374255877
novel:OW982293.1_14451,7.59675685224934,8.45267349693014,9.15821505406506,7.64406923330472,8.61132946327451,9.0400153327859,7.65681458300093,7.78667167467049,9.26693481119891,9.14243555756613
novel:OW982293.1_12779,4.37070739095092,4.05569632055427,3.05099971697583,4.39276231858477,2.92766762638965,1.98428374255877,1.98428374255877,3.40995013842173,3.89599448913496,3.90304158478243
known:OW982293.1_14549,8.49540466035033,8.50393727451576,7.75612527651054,7.94787960013674,7.19367105106457,7.46681780459826,7.9199455555489,7.89173917727875,6.86919174646312,6.92274457889457
known:OW982293.1_14552,7.1637271718914,6.71893048903957,5.09908698236521,6.73139442694424,6.82681031885236,5.56051141551266,6.25994022784796,6.50300849979005,6.45544192310208,6.20250956728199
known:OW982294.1_45535,5.4261289659074,5.65605942642612,4.90418801692438,4.06557430611049,5.57840250298194,5.32146737274346,5.91849637570973,4.58340077472421,5.19959733986925,4.47868816192809
novel:OW982294.1_43852,7.79091069861698,6.07301049320744,4.08323532037193,4.39276231858477,3.49325335230059,2.9183324951733,2.99898486718363,4.11283159807786,4.690283746042,5.2081574612297
known:OW982294.1_44233,7.59675685224934,7.53608825312935,7.35940708710493,7.67448882948101,7.93662220175257,7.57981075743935,7.79437078030533,7.47119196232899,7.75006509542523,7.8766856796082
known:OW982294.1_44316,11.7100235942532,11.4492853071926,12.0512769963286,11.6614036125115,12.0249271376871,12.1428057911801,11.1088817762562,11.1136616202485,11.2556755579524,11.0869912732423
novel:OW982294.1_44395,3.2530367377353,4.05569632055427,4.67878492436328,1.98428374255877,4.88369807364321,5.0347930142393,4.32966226356475,2.86649072441154,5.33598272601202,2.93063376916467
known:OW982294.1_44435,16.542280611445,16.6700208892854,16.8798925566903,16.3928179744766,16.5825055014881,16.7930684166252,16.3296763609858,16.3977228032456,16.5429911328502,16.5429697003356
known:OW982294.1_44437,11.7267379606977,11.8234632894643,11.3385594020872,12.0340935134443,12.2175590375075,11.7562594028456,11.9219001824361,11.9851795868051,11.8905803718097,11.8465681028104
known:OW982294.1_44439,15.2869977383139,15.1708219585705,14.986462482405,15.2315437913028,15.482307508554,15.3240804359889,15.119442920284,15.3083331199057,15.3055532927819,15.2343972409594
novel:OW982294.1_46254,6.14733032875215,4.64837967371631,1.98428374255877,3.03898315731476,1.98428374255877,1.98428374255877,2.99898486718363,4.11283159807786,2.92602860058817,3.49726023905537
known:OW982294.1_44887,8.30501742631149,8.38135899651358,8.22148163120254,7.70428024323975,7.11982841871821,7.174684752302,7.01263243283745,6.60542121818919,6.72757248815961,6.63400108933288
known:OW982294.1_44888,7.59675685224934,7.69157879754262,7.63561368374453,7.37443011979742,6.19666913087148,6.76082377333287,6.71286316326863,6.20979380694409,6.2635321442802,5.69035962834085
known:OW982294.1_45095,17.6287195957683,17.4812463842832,17.4896670580062,16.986072280532,17.1356745947405,17.1840915907304,16.4658420037837,16.3916894956176,16.4093254496265,16.386483609973
novel:OW982294.1_45097,7.1637271718914,7.02998005432034,7.3969661628283,7.97257193702717,5.87623774274179,6.49872989342759,6.53584000057252,6.14325535495571,5.96006063938542,6.46460050407992
known:OW982294.1_46496,6.54209283242156,6.32184354824176,6.501130765301,6.25584769853227,5.68466079119506,5.44593472268278,6.47165238010011,5.45914980851087,5.46058116431822,5.05740645831803
novel:OW982295.1_14863,3.91750288252447,4.8729704847982,4.67878492436328,3.03898315731476,3.89850398894404,5.44593472268278,4.59366554673787,5.22183643909815,2.92602860058817,3.49726023905537
novel:OW982295.1_15424,7.04689064625258,7.39837662650289,6.69452131577297,6.08520088933698,4.47361278181666,5.8580434594966,7.10014854062323,6.83355057387788,5.33598272601202,1.98428374255877
novel:OW982295.1_16736,3.91750288252447,5.77212570422563,3.05099971697583,4.39276231858477,3.89850398894404,3.88419071189312,4.81674962516167,5.34536718369055,4.21183999590118,5.46931169139994
known:OW982295.1_16939,1.98428374255877,4.05569632055427,4.08323532037193,4.88417709131575,5.05196855449731,3.4806238166822,2.99898486718363,2.86649072441154,4.47080504889721,4.21938734731348
